2022-10-13 18:11:46 startup archives unpack
2022-10-13 18:11:46 upgrade perl-base:amd64 5.28.1-6 5.28.1-6+deb10u1
2022-10-13 18:11:46 status half-configured perl-base:amd64 5.28.1-6
2022-10-13 18:11:46 status unpacked perl-base:amd64 5.28.1-6
2022-10-13 18:11:46 status half-installed perl-base:amd64 5.28.1-6
2022-10-13 18:11:46 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:46 startup packages configure
2022-10-13 18:11:46 configure perl-base:amd64 5.28.1-6+deb10u1 <none>
2022-10-13 18:11:46 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:46 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:46 status installed perl-base:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:46 startup archives unpack
2022-10-13 18:11:47 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2022-10-13 18:11:47 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2022-10-13 18:11:47 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2022-10-13 18:11:47 upgrade libbz2-1.0:amd64 1.0.6-9.2~deb10u1 1.0.6-9.2~deb10u2
2022-10-13 18:11:47 status triggers-pending libc-bin:amd64 2.28-10
2022-10-13 18:11:47 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2022-10-13 18:11:47 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2022-10-13 18:11:47 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2022-10-13 18:11:47 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:47 startup packages configure
2022-10-13 18:11:47 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u2 <none>
2022-10-13 18:11:47 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:47 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:47 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:47 startup archives unpack
2022-10-13 18:11:47 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2022-10-13 18:11:47 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:47 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:47 install perl:amd64 <none> 5.28.1-6+deb10u1
2022-10-13 18:11:47 status half-installed perl:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:47 status unpacked perl:amd64 5.28.1-6+deb10u1
2022-10-13 18:11:47 install liblocale-gettext-perl:amd64 <none> 1.07-3+b4
2022-10-13 18:11:47 status half-installed liblocale-gettext-perl:amd64 1.07-3+b4
2022-10-13 18:11:47 status unpacked liblocale-gettext-perl:amd64 1.07-3+b4
2022-10-13 18:11:47 upgrade gpgv:amd64 2.2.12-1+deb10u1 2.2.12-1+deb10u2
2022-10-13 18:11:47 status half-configured gpgv:amd64 2.2.12-1+deb10u1
2022-10-13 18:11:47 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2022-10-13 18:11:47 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2022-10-13 18:11:47 status unpacked gpgv:amd64 2.2.12-1+deb10u2
